FID,geom,efetivacao,tipo,id,nome,latitude,longitude,uom_ulimit,uom_llimit,upperlimit,lowerlimit
P31mar16.1,"MULTIPOLYGON (((-48.73199999999999 -1.5647650986414499, -48.7312485255096 -1.5648047320525098, -48.730505284246306 -1.5649231980583498, -48.7297784192362 -1.56511919873412, -48.729075894091 -1.5653905866770699, -48.728405405760796 -1.5657343885328, -48.7277743002065 -1.56614683757051, -48.72718949191869 -1.5666234149505398, -48.726657388161996 -1.5671588992320797, -48.7261838187766 -1.56774742357868, -48.7257739723052 -1.5683825400348899, -48.7254323391455 -1.56905729016973, -48.725162662351295 -1.5697642813131198, -48.7249678966567 -1.57049576755773, -48.724850175922796 -1.57124373458536, -48.7248107901045 -1.57199998754807, -48.7248501707777 -1.5727562407773898, -48.7249678865914 -1.57350420859319, -48.7251626478056 -1.5742356961130899, -48.725432320755196 -1.57494268896314, -48.725773950874 -1.5756174411614299, -48.7261837952412 -1.57625255994771, -48.726657363551 -1.57684108678914, -48.727189467307696 -1.57737657362125, -48.7277742766711 -1.57785315349611, -48.72840538432959 -1.5782656048638801, -48.729075875700694 -1.57860940878306, -48.7297784046905 -1.5788807984326798, -48.7305052741809 -1.5790768003837299, -48.7312485203645 -1.5791952671777398, -48.73199999999999 -1.57923490085542, -48.732751479635496 -1.5791952671777398, -48.7334947258191 -1.5790768003837299, -48.7342215953095 -1.5788807984326798, -48.734924124299305 -1.57860940878306, -48.7355946156704 -1.5782656048638801, -48.7362257233289 -1.57785315349611, -48.7368105326923 -1.57737657362125, -48.73734263644899 -1.57684108678914, -48.7378162047588 -1.57625255994771, -48.738226049126 -1.5756174411614299, -48.7385676792448 -1.57494268896314, -48.738837352194395 -1.5742356961130899, -48.7390321134086 -1.57350420859319, -48.7391498292223 -1.5727562407773898, -48.7391892098955 -1.57199998754807, -48.739149824077195 -1.57124373458536, -48.73903210334329 -1.57049576755773, -48.7388373376487 -1.5697642813131198, -48.73856766085449 -1.56905729016973, -48.73822602769479 -1.5683825400348899, -48.737816181223394 -1.56774742357868, -48.737342611838 -1.5671588992320797, -48.7368105080813 -1.5666234149505398, -48.73622569979349 -1.56614683757051, -48.735594594239195 -1.5657343885328, -48.734924105908995 -1.5653905866770699, -48.734221580763794 -1.56511919873412, -48.7334947157537 -1.5649231980583498, -48.7327514744904 -1.5648047320525098, -48.73199999999999 -1.5647650986414499)))",2011-01-01,P,SBP100,SBP 100 ELETRONORTE,-1.572,-48.732,FT,FT,1000,0
P31mar16.2,"MULTIPOLYGON (((-44.433333333 -2.366666667, -44.4625020014451 -2.26666703161926, -44.491666667000004 -2.1666666670000003, -44.4541646962031 -2.08333382654193, -44.416666667 -2, -44.27778746729349 -2.0555678533893698, -44.1388986644038 -2.11112351922536, -44 -2.1666666670000003, -43.99999999999999 -2.26666673626277, -44 -2.366666667, -44.137500818098296 -2.35834016301429, -44.275 -2.35, -44.433333333 -2.366666667)))",2012-03-08,P,SBP103,SBP 103 ALCÂNTARA I,-2.21347,-44.25391,FL,FT,999,0
P31mar16.3,"MULTIPOLYGON (((-34.836111111 -6.9750000000000005, -34.843055556 -6.9750000000000005, -34.843055556 -6.9625, -34.836111111 -6.9625, -34.836111111 -6.9750000000000005)))",2012-03-08,P,SBP208,SBP 208 PORTO DE CABEDELO,-6.96875,-34.83958,FT,FT,1500,0
P31mar16.4,"MULTIPOLYGON (((-34.934166667 -8.412222222, -34.997777778 -8.411944444, -34.9975 -8.372222222000001, -34.934166667 -8.3725, -34.934166667 -8.412222222)))",2011-01-01,P,SBP209,SBP 209 AREA PORTO DE SUAPE,-8.39224,-34.9659,FT,FT,1500,0
P31mar16.5,"MULTIPOLYGON (((-38.270166667000005 -12.669333333, -38.298166667 -12.699166667, -38.3295 -12.666, -38.334666667 -12.670833333, -38.393666667 -12.608833333, -38.362 -12.5755, -38.270166667000005 -12.669333333)))",2011-01-01,P,SBP225,SBP 225 CAMAÇARI,-12.63731,-38.33275,FT,FT,1500,0
P31mar16.6,"MULTIPOLYGON (((-34.832 -7.8121666670000005, -34.832 -7.8205, -34.840333333000004 -7.8205, -34.840333333000004 -7.8121666670000005, -34.832 -7.8121666670000005)))",2012-03-08,P,SBP227,SBP 227 ILHA COROA DO AVIÃO,-7.81633,-34.83617,FT,FT,2000,0
P31mar16.7,"MULTIPOLYGON (((-35.763666666999995 -9.68212017049677, -35.7627590366305 -9.6821606135484, -35.76185871331909 -9.68228161710811, -35.760972945312794 -9.682482207010912, -35.760108863708595 -9.68276076836263, -35.7592734250578 -9.68311505853752, -35.75847335537179 -9.683542225228479, -35.7577150959835 -9.684038829404729, -35.75700475169619 -9.68460087299231, -35.7563480416396 -9.685223831054929, -35.755750253227795 -9.685902688216268, -35.7552161995885 -9.68663197903075, -35.754750180808 -9.6874058319781, -35.754355949303296 -9.68821801672781, -35.7540366795996 -9.689061994293109, -35.7537949427694 -9.68993096967363, -35.75363268566319 -9.69081794654583, -35.75355121533251 -9.69171578361199, -35.7535511883273 -9.692617252067961, -35.75363260551559 -9.6935150938244, -35.7537948120552 -9.69440207992641, -35.7540365025202 -9.6952710687796, -35.7543557315502 -9.69611506362743, -35.75474992938 -9.696927268914049, -35.7552159225666 -9.697701144992621, -35.7557499595158 -9.69843046078916, -35.7563477406776 -9.69910934398047, -35.75700445315729 -9.69973232828434, -35.757714809463096 -9.700294397481029, -35.758473090078894 -9.70079102581116, -35.759273189519 -9.70121821442444, -35.7601086654945 -9.701572523585488, -35.76097279079399 -9.701851100376981, -35.7618586074621 -9.70205170167691, -35.7627589828375 -9.702172712224788, -35.763666666999995 -9.702213157631041, -35.764574351162494 -9.702172712224788, -35.765474726537896 -9.70205170167691, -35.766360543206 -9.701851100376981, -35.7672246685055 -9.701572523585488, -35.768060144481 -9.70121821442444, -35.7688602439211 -9.70079102581116, -35.7696185245369 -9.700294397481029, -35.770328880842705 -9.69973232828434, -35.77098559332239 -9.69910934398047, -35.771583374484194 -9.69843046078916, -35.7721174114334 -9.697701144992621, -35.77258340462 -9.696927268914049, -35.7729776024498 -9.69611506362743, -35.7732968314798 -9.6952710687796, -35.7735385219448 -9.69440207992641, -35.7737007284844 -9.6935150938244, -35.7737821456727 -9.692617252067961, -35.7737821186675 -9.69171578361199, -35.7737006483368 -9.69081794654583, -35.773538391230595 -9.68993096967363, -35.77329665440039 -9.689061994293109, -35.772977384696695 -9.68821801672781, -35.772583153191995 -9.6874058319781, -35.7721171344115 -9.68663197903075, -35.7715830807722 -9.685902688216268, -35.77098529236039 -9.685223831054929, -35.7703285823038 -9.68460087299231, -35.769618238016506 -9.684038829404729, -35.7688599786282 -9.683542225228479, -35.768059908942206 -9.68311505853752, -35.767224470291396 -9.68276076836263, -35.7663603886872 -9.682482207010912, -35.7654746206809 -9.68228161710811, -35.76457429736949 -9.6821606135484, -35.763666666999995 -9.68212017049677)))",2011-05-01,P,SBP230,SBP 230 SALGEMA,-9.69217,-35.76367,FT,FT,1000,0
P31mar16.8,"MULTIPOLYGON (((-35.733666666999994 -9.66547674615832, -35.733137498834104 -9.665504263664541, -35.7326141280893 -9.665586514708869, -35.7321022886802 -9.66572259817071, -35.7316075882036 -9.6659110231542, -35.7311354465105 -9.66614972532001, -35.7306910363332 -9.666436089498768, -35.73027922661829 -9.666766978339028, -35.729904529185795 -9.6671387666757, -35.7295710492994 -9.66754738124286, -35.729282440687804 -9.66798834529593, -35.729041865511796 -9.66845682765457, -35.7288519597144 -9.66894769562911, -35.72871480413699 -9.669455571251548, -35.7286319017036 -9.6699748901916, -35.728604160961694 -9.67049996272134, -35.7286318860811 -9.6710250360497, -35.72871477357489 -9.67154435735071, -35.7288519155483 -9.672052236793268, -35.729041809672 -9.672543109880129, -35.7292823756147 -9.67301159841985, -35.72957097783709 -9.67345256945263, -35.7299044544575 -9.673861191493058, -35.730279151889896 -9.67423298746997, -35.730690964870895 -9.67456388378352, -35.7311353814374 -9.67485025494199, -35.7316075323637 -9.675088963288879, -35.732102244513996 -9.67527739338469, -35.732614097527204 -9.67541348066665, -35.7331374832117 -9.675495734071939, -35.733666666999994 -9.675523252376792, -35.7341958507883 -9.675495734071939, -35.7347192364728 -9.67541348066665, -35.735231089486 -9.67527739338469, -35.73572580163629 -9.675088963288879, -35.7361979525626 -9.67485025494199, -35.73664236912909 -9.67456388378352, -35.7370541821101 -9.67423298746997, -35.7374288795425 -9.673861191493058, -35.7377623561629 -9.67345256945263, -35.7380509583853 -9.67301159841985, -35.738291524328 -9.672543109880129, -35.7384814184517 -9.672052236793268, -35.738618560425095 -9.67154435735071, -35.7387014479189 -9.6710250360497, -35.738729173038294 -9.67049996272134, -35.7387014322964 -9.6699748901916, -35.738618529863 -9.669455571251548, -35.7384813742856 -9.66894769562911, -35.7382914684882 -9.66845682765457, -35.738050893312206 -9.66798834529593, -35.737762284700594 -9.66754738124286, -35.7374288048142 -9.6671387666757, -35.737054107381695 -9.666766978339028, -35.7366422976668 -9.666436089498768, -35.736197887489496 -9.66614972532001, -35.735725745796394 -9.6659110231542, -35.7352310453198 -9.66572259817071, -35.7347192059107 -9.665586514708869, -35.7341958351659 -9.665504263664541, -35.733666666999994 -9.66547674615832)))",2011-05-01,P,SBP232,SBP 232 BAMAC,-9.6705,-35.73367,FT,FT,1000,0
P31mar16.9,"MULTIPOLYGON (((-37.45216666699999 -5.124204433447289, -37.451267344052695 -5.12421942270473, -37.45036901480889 -5.12426437391466, -37.449472671874396 -5.12433923740828, -37.4485793056612 -5.124443930465199, -37.4476899032934 -5.1245783374048095, -37.446805447516894 -5.12474230971408, -37.445926915613796 -5.1249356662115595, -37.445055278323096 -5.12515819324753, -37.444191498768596 -5.1254096449399995, -37.4433365313945 -5.125689743446269, -37.4424913209118 -5.12599817926985, -37.4416568012542 -5.12633461160229, -37.4408338945468 -5.12669866869967, -37.44002351008739 -5.12708994829318, -37.4392265433687 -5.12750801808257, -37.4384438749806 -5.1279524160113095, -37.43767636980209 -5.1284226510899495, -37.4369248759348 -5.128918203723299, -37.43619022379419 -5.129438526339829, -37.43547322519181 -5.12998304399654, -37.4347746724386 -5.130551155014089, -37.4340953374691 -5.1311422316414195, -37.433435970989194 -5.13175562074919, -37.4327973016457 -5.13239064455132, -37.432180035222096 -5.1330466013536995, -37.431584853858 -5.133722766329369, -37.43101241529519 -5.13441839231921, -37.43046335215149 -5.135132710657399, -37.4299382712205 -5.135864932020559, -37.429437752801796 -5.136614247299749, -37.4289623500591 -5.13737982849437, -37.4285125884085 -5.1381608296269095, -37.42808896493809 -5.138956387677589, -37.4276919478583 -5.139765623537819, -37.4273219759838 -5.14058764298146, -37.426979458248496 -5.141421537652819, -37.4266647732534 -5.1422663860702595, -37.4263782688475 -5.143121254644299, -37.426120261743094 -5.143985198709119, -37.4258910371657 -5.14485726356637, -37.42569084853769 -5.145736485540029, -37.4255199172349 -5.14662189304761, -37.4253784321691 -5.147512507643119, -37.4252665498926 -5.148407345155119, -37.4251843941594 -5.14930541672436, -37.4251320558772 -5.15020572991475, -37.4251095930057 -5.15110728980975, -37.425117030492906 -5.15200910011147, -37.4251543602467 -5.15291016424124, -37.4252215411432 -5.1538094864406, -37.42531849907169 -5.1547060728713, -37.4254451270157 -5.155598932713359, -37.4256012851121 -5.156487079270989, -37.425786800969796 -5.15736953103532, -37.426001469673 -5.15824531279955, -37.4262450541066 -5.15911345672079, -37.4265172851969 -5.159973003393, -37.4268178622088 -5.16082300290737, -37.4271464530772 -5.161662515902229, -37.4275026947742 -5.16249061460125, -37.427886193709 -5.163306383838959, -37.428296526163194 -5.164108922072219, -37.4287332387584 -5.16489734237675, -37.429195848956695 -5.165670773427499, -37.4296838455941 -5.166428360461709, -37.43019668944469 -5.167169266223789, -37.430733813816495 -5.16789267189082, -37.4312946251776 -5.16859777797761, -37.4318785038115 -5.16928380522055, -37.432484804502295 -5.16994999543896, -37.4331128572475 -5.17059561237328, -37.433761967998194 -5.171219942498929, -37.434431419426 -5.17182229581512, -37.4351204717161 -5.172402006607619, -37.4358283633846 -5.1729584341847294, -37.4365543121202 -5.17349096358555, -37.4372975156488 -5.17399900625985, -37.4380571526205 -5.174482000718729, -37.438832383517 -5.1749394131553705, -37.4396223515527 -5.17537073808737, -37.44042618372979 -5.1757754987134, -37.441242991643094 -5.176153247734039, -37.4420718725672 -5.17650356765663, -37.44291191042879 -5.1768260713028305, -37.443762176819696 -5.17712040223668, -37.4446217320223 -5.177386235158649, -37.4454896260496 -5.17762327626531, -37.44636489969459 -5.177831263574179, -37.4472465855912 -5.1780099672133595, -37.448133709283795 -5.178159189675689, -37.4490252903044 -5.178278766037139, -37.44992034325679 -5.1783685641391095, -37.4508178789061 -5.178428484734609, -37.4517169052724 -5.17845846159795, -37.4526164287276 -5.17845846159795, -37.45351545509389 -5.178428484734609, -37.4544129907432 -5.1783685641391095, -37.455308043695595 -5.178278766037139, -37.4561996247162 -5.178159189675689, -37.4570867484088 -5.1780099672133595, -37.4579684343054 -5.177831263574179, -37.4588437079504 -5.17762327626531, -37.4597116019777 -5.177386235158649, -37.4605711571803 -5.17712040223668, -37.4614214235712 -5.1768260713028305, -37.462261461432796 -5.17650356765663, -37.4630903423569 -5.176153247734039, -37.463907150270195 -5.1757754987134, -37.4647109824473 -5.17537073808737, -37.465500950483005 -5.1749394131553705, -37.466276181379506 -5.174482000718729, -37.46703581835119 -5.17399900625985, -37.4677790218798 -5.17349096358555, -37.46850497061539 -5.1729584341847294, -37.4692128622839 -5.172402006607619, -37.469901914573995 -5.17182229581512, -37.4705713660018 -5.171219942498929, -37.47122047675249 -5.17059561237328, -37.4718485294977 -5.16994999543896, -37.4724548301885 -5.16928380522055, -37.47303870882239 -5.16859777797761, -37.4735995201835 -5.16789267189082, -37.4741366445553 -5.167169266223789, -37.4746494884059 -5.166428360461709, -37.4751374850433 -5.165670773427499, -37.475600095241596 -5.16489734237675, -37.4760368078368 -5.164108922072219, -37.476447140291 -5.163306383838959, -37.476830639225795 -5.16249061460125, -37.477186880922794 -5.161662515902229, -37.47751547179119 -5.16082300290737, -37.4778160488031 -5.159973003393, -37.4780882798934 -5.15911345672079, -37.478331864327 -5.15824531279955, -37.478546533030205 -5.15736953103532, -37.4787320488879 -5.156487079270989, -37.4788882069843 -5.155598932713359, -37.4790148349283 -5.1547060728713, -37.47911179285679 -5.1538094864406, -37.4791789737533 -5.15291016424124, -37.4792163035071 -5.15200910011147, -37.47922374099429 -5.15110728980975, -37.4792012781228 -5.15020572991475, -37.47914893984059 -5.14930541672436, -37.479066784107395 -5.148407345155119, -37.478954901830896 -5.147512507643119, -37.47881341676509 -5.14662189304761, -37.4786424854623 -5.145736485540029, -37.478442296834295 -5.14485726356637, -37.4782130722569 -5.143985198709119, -37.4779550651525 -5.143121254644299, -37.4776685607466 -5.1422663860702595, -37.4773538757515 -5.141421537652819, -37.4770113580162 -5.14058764298146, -37.4766413861417 -5.139765623537819, -37.4762443690619 -5.138956387677589, -37.4758207455915 -5.1381608296269095, -37.4753709839409 -5.13737982849437, -37.4748955811982 -5.136614247299749, -37.4743950627795 -5.135864932020559, -37.4738699818485 -5.135132710657399, -37.4733209187048 -5.13441839231921, -37.472748480141995 -5.133722766329369, -37.4721532987779 -5.1330466013536995, -37.4715360323543 -5.13239064455132, -37.4708973630108 -5.13175562074919, -37.4702379965309 -5.1311422316414195, -37.46955866156139 -5.130551155014089, -37.4688601088082 -5.12998304399654, -37.468143110205794 -5.129438526339829, -37.4674084580652 -5.128918203723299, -37.4666569641979 -5.1284226510899495, -37.4658894590194 -5.1279524160113095, -37.4651067906313 -5.12750801808257, -37.4643098239126 -5.12708994829318, -37.463499439453194 -5.12669866869967, -37.462676532745796 -5.12633461160229, -37.4618420130882 -5.12599817926985, -37.4609968026055 -5.125689743446269, -37.460141835231404 -5.1254096449399995, -37.4592780556769 -5.12515819324753, -37.4584064183862 -5.1249356662115595, -37.4575278864831 -5.12474230971408, -37.4566434307066 -5.1245783374048095, -37.455754028338795 -5.124443930465199, -37.4548606621256 -5.12433923740828, -37.453964319191094 -5.12426437391466, -37.4530659899473 -5.12421942270473, -37.45216666699999 -5.124204433447289)))",2012-03-08,P,SBP264,SBP 264 PRESÍDIO FEDERAL DE MOSSORO,-5.15133,-37.45217,FT,FT,1500,0
P31mar16.10,"MULTIPOLYGON (((-44.457166666999996 -22.975386795236602, -44.4561926999448 -22.975398952524298, -44.4552194405831 -22.975435415553697, -44.45424759609519 -22.975496157829998, -44.4532778726358 -22.975581135216697, -44.4523109748217 -22.9756902859675, -44.451347605221 -22.975823530771, -44.45038846384409 -22.9759807728083, -44.449434247635395 -22.976161897823097, -44.448485649968696 -22.976366774204898, -44.4475433601439 -22.976595253083698, -44.44660806288729 -22.9768471684388, -44.445680437855096 -22.977122337218297, -44.4447611591404 -22.977420559472897, -44.4438508947843 -22.977741618499696, -44.4429503062914 -22.9780852810004, -44.4420600481495 -22.978451297249702, -44.4411807673556 -22.9788394012769, -44.440313102945495 -22.9792493110585, -44.4394576855308 -22.979680728722897, -44.4386151368409 -22.9801333407664, -44.437786069271894 -22.980606818280595, -44.436971085441904 -22.981100817190697, -44.436170777753595 -22.9816149785055, -44.435385727964196 -22.982148928577598, -44.4346165067627 -22.982702279374397, -44.43386367335549 -22.9832746287597, -44.4331277750604 -22.9838655607854, -44.43240934690839 -22.9844746459932, -44.4317089112553 -22.9851014417263, -44.4310269774018 -22.985745492450597, -44.4303640412233 -22.9864063300852, -44.429720584809395 -22.987083474342096, -44.429097076112996 -22.9877764330746, -44.42849396861 -22.9884847026348, -44.4279117009691 -22.9892077682389, -44.4273506967329 -22.9899451043407, -44.4268113640091 -22.9906961750136, -44.4262940951732 -22.9914604343391, -44.4257992665829 -22.992237326803497, -44.425327238303794 -22.993026287701003, -44.4248783538793 -22.9938267435592, -44.424452939915795 -22.994638112478697, -44.424051306197896 -22.995459804718898, -44.4236737450105 -22.9962912229237, -44.4233205313351 -22.9971317627307, -44.42299192237049 -22.997980813095896, -44.4226881574674 -22.998837756787196, -44.422409457928396 -22.999701970822798, -44.4221560268463 -23.000572826923698, -44.421928048954804 -23.001449691970297, -44.4217256904931 -23.002331928462198, -44.42154909908339 -23.0032188949817, -44.4213984036225 -23.004109946659998, -44.4212737141862 -23.005004435645297, -44.4211751219482 -23.0059017115744, -44.421102699112396 -23.006801122044898, -44.4210564988584 -23.0077020130896, -44.421036555301704 -23.008603729652094, -44.4210428834676 -23.009505616062896, -44.421075479278194 -23.0104070165159, -44.42113431955409 -23.0113072755459, -44.421219362029895 -23.012205738504598, -44.4213305453832 -23.013101752037198, -44.4214677892777 -23.0139946645572, -44.4216309944202 -23.0148838267207, -44.421820042631595 -23.0157685918984, -44.422034796930596 -23.0166483166466, -44.4222751016329 -23.0175223611747, -44.4225407824622 -23.0183900898109, -44.422831646676194 -23.0192508714652, -44.4231474832049 -23.020104080087897, -44.4234880628034 -23.0209490951259, -44.4238531382169 -23.021785301973996, -44.424242444365696 -23.0226120924197, -44.4246556985139 -23.0234288650954, -44.4250926004959 -23.024235025908197, -44.425552832952 -23.0250299884624, -44.42603606150849 -23.025813174509498, -44.4265419350546 -23.0265840143535, -44.4270700859883 -23.02734194727, -44.4276201304836 -23.028086421913898, -44.4281916687684 -23.028816896721498, -44.4287842854149 -23.0295328403045, -44.429397549641095 -23.0302337318372, -44.430031015623996 -23.0309190614359, -44.430684222822904 -23.0315883305305, -44.4313566963143 -23.032241052227498, -44.43204794713719 -23.0328767516646, -44.43275747264849 -23.033494966357196, -44.433484756888404 -23.0340952465348, -44.4342292709556 -23.0346771554692, -44.434990473392304 -23.0352402697926, -44.435767810578 -23.035784179805997, -44.4365607171327 -23.0363084897779, -44.437368616327795 -23.036812818232697, -44.4381909205065 -23.037296798228997, -44.43902703151169 -23.037760077626498, -44.4398763411211 -23.0382023193432, -44.4407382314908 -23.0386232016009, -44.4416120756047 -23.0390224181599, -44.4424972377321 -23.0393996785421, -44.44339307389 -23.039754708242796, -44.444298932313096 -23.040087248931, -44.4452141539284 -23.0403970586374, -44.4461380728357 -23.040683911931296, -44.44707001679279 -23.0409476000846, -44.4480093077057 -23.041187931224098, -44.448955262123 -23.041404730471303, -44.4499071917338 -23.0415978400704, -44.4508644038702 -23.0417671195025, -44.4518262020117 -23.041912445588903, -44.4527918862934 -23.0420337125805, -44.4537607540165 -23.0421308322348, -44.4547321001605 -23.042203733880598, -44.4557052178972 -23.042252364469295, -44.456679399106704 -23.042276688613697, -44.4576539348933 -23.042276688613697, -44.4586281161028 -23.042252364469295, -44.4596012338395 -23.042203733880598, -44.4605725799835 -23.0421308322348, -44.4615414477066 -23.0420337125805, -44.462507131988296 -23.041912445588903, -44.4634689301298 -23.0417671195025, -44.4644261422662 -23.0415978400704, -44.465378071877005 -23.041404730471303, -44.4663240262943 -23.041187931224098, -44.46726331720719 -23.0409476000846, -44.468195261164304 -23.040683911931296, -44.4691191800716 -23.0403970586374, -44.470034401686895 -23.040087248931, -44.470940260110005 -23.039754708242796, -44.47183609626789 -23.0393996785421, -44.472721258395296 -23.0390224181599, -44.473595102509194 -23.0386232016009, -44.4744569928789 -23.0382023193432, -44.4753063024883 -23.037760077626498, -44.4761424134935 -23.037296798228997, -44.476964717672196 -23.036812818232697, -44.4777726168673 -23.0363084897779, -44.478565523422 -23.035784179805997, -44.479342860607694 -23.0352402697926, -44.4801040630444 -23.0346771554692, -44.480848577111594 -23.0340952465348, -44.4815758613515 -23.033494966357196, -44.4822853868628 -23.0328767516646, -44.4829766376857 -23.032241052227498, -44.4836491111771 -23.0315883305305, -44.484302318376 -23.0309190614359, -44.4849357843589 -23.0302337318372, -44.4855490485851 -23.0295328403045, -44.4861416652316 -23.028816896721498, -44.486713203516395 -23.028086421913898, -44.4872632480117 -23.02734194727, -44.4877913989454 -23.0265840143535, -44.488297272491494 -23.025813174509498, -44.488780501048 -23.0250299884624, -44.4892407335041 -23.024235025908197, -44.4896776354861 -23.0234288650954, -44.490090889634295 -23.0226120924197, -44.4904801957831 -23.021785301973996, -44.490845271196605 -23.0209490951259, -44.4911858507951 -23.020104080087897, -44.491501687323805 -23.0192508714652, -44.4917925515378 -23.0183900898109, -44.4920582323671 -23.0175223611747, -44.492298537069395 -23.0166483166466, -44.49251329136839 -23.0157685918984, -44.4927023395798 -23.0148838267207, -44.4928655447223 -23.0139946645572, -44.4930027886168 -23.013101752037198, -44.493113971970104 -23.012205738504598, -44.49319901444589 -23.0113072755459, -44.493257854721804 -23.0104070165159, -44.49329045053239 -23.009505616062896, -44.4932967786983 -23.008603729652094, -44.49327683514159 -23.0077020130896, -44.493230634887595 -23.006801122044898, -44.4931582120518 -23.0059017115744, -44.49305961981379 -23.005004435645297, -44.4929349303775 -23.004109946659998, -44.4927842349166 -23.0032188949817, -44.4926076435069 -23.002331928462198, -44.492405285045194 -23.001449691970297, -44.492177307153696 -23.000572826923698, -44.491923876071596 -22.999701970822798, -44.49164517653259 -22.998837756787196, -44.4913414116295 -22.997980813095896, -44.4910128026649 -22.9971317627307, -44.4906595889895 -22.9962912229237, -44.490282027802095 -22.995459804718898, -44.4898803940842 -22.994638112478697, -44.4894549801207 -22.9938267435592, -44.4890060956962 -22.993026287701003, -44.488534067417106 -22.992237326803497, -44.4880392388268 -22.9914604343391, -44.4875219699909 -22.9906961750136, -44.4869826372671 -22.9899451043407, -44.4864216330309 -22.9892077682389, -44.48583936539 -22.9884847026348, -44.485236257886996 -22.9877764330746, -44.484612749190596 -22.987083474342096, -44.4839692927767 -22.9864063300852, -44.4833063565982 -22.985745492450597, -44.4826244227447 -22.9851014417263, -44.4819239870916 -22.9844746459932, -44.48120555893959 -22.9838655607854, -44.4804696606445 -22.9832746287597, -44.4797168272373 -22.982702279374397, -44.478947606035796 -22.982148928577598, -44.478162556246396 -22.9816149785055, -44.4773622485581 -22.981100817190697, -44.4765472647281 -22.980606818280595, -44.475718197159104 -22.9801333407664, -44.4748756484692 -22.979680728722897, -44.474020231054496 -22.9792493110585, -44.473152566644394 -22.9788394012769, -44.472273285850505 -22.978451297249702, -44.4713830277086 -22.9780852810004, -44.4704824392157 -22.977741618499696, -44.4695721748596 -22.977420559472897, -44.4686528961449 -22.977122337218297, -44.4677252711127 -22.9768471684388, -44.4667899738561 -22.976595253083698, -44.465847684031296 -22.976366774204898, -44.464899086364596 -22.976161897823097, -44.4639448701559 -22.9759807728083, -44.462985728778996 -22.975823530771, -44.46202235917829 -22.9756902859675, -44.4610554613642 -22.975581135216697, -44.4600857379048 -22.975496157829998, -44.45911389341689 -22.975435415553697, -44.4581406340552 -22.975398952524298, -44.457166666999996 -22.975386795236602)))",2012-03-08,P,SBP302,SBP 302 TARITUBA,-23.00883,-44.45717,FT,FT,2000,0
