,X1,X2,X3,X4,X5,Y1
1,1000,0,0.3048,71.3,0.00266337,125201
2,1250,0,0.3048,71.3,0.00266337,125951
3,1600,0,0.3048,71.3,0.00266337,127591
4,2000,0,0.3048,71.3,0.00266337,127461
5,2500,0,0.3048,71.3,0.00266337,125571
6,3150,0,0.3048,71.3,0.00266337,125201
7,4000,0,0.3048,71.3,0.00266337,123061
8,5000,0,0.3048,71.3,0.00266337,121301
9,6300,0,0.3048,71.3,0.00266337,119541
10,8000,0,0.3048,71.3,0.00266337,117151
11,10000,0,0.3048,71.3,0.00266337,115391
12,12500,0,0.3048,71.3,0.00266337,112241
13,16000,0,0.3048,71.3,0.00266337,108721
14,500,0,0.3048,55.5,0.00283081,126416
15,630,0,0.3048,55.5,0.00283081,127696
16,800,0,0.3048,55.5,0.00283081,128086
17,1000,0,0.3048,55.5,0.00283081,126966
18,1250,0,0.3048,55.5,0.00283081,126086
19,1600,0,0.3048,55.5,0.00283081,126986
20,2000,0,0.3048,55.5,0.00283081,126616
21,2500,0,0.3048,55.5,0.00283081,124106
22,3150,0,0.3048,55.5,0.00283081,123236
23,4000,0,0.3048,55.5,0.00283081,121106
24,5000,0,0.3048,55.5,0.00283081,119606
25,6300,0,0.3048,55.5,0.00283081,117976
26,8000,0,0.3048,55.5,0.00283081,116476
27,10000,0,0.3048,55.5,0.00283081,113076
28,12500,0,0.3048,55.5,0.00283081,111076
29,200,0,0.3048,39.6,0.00310138,118129
30,250,0,0.3048,39.6,0.00310138,119319
31,315,0,0.3048,39.6,0.00310138,122779
32,400,0,0.3048,39.6,0.00310138,124809
33,500,0,0.3048,39.6,0.00310138,126959
34,630,0,0.3048,39.6,0.00310138,128629
35,800,0,0.3048,39.6,0.00310138,129099
36,1000,0,0.3048,39.6,0.00310138,127899
37,1250,0,0.3048,39.6,0.00310138,125499
38,1600,0,0.3048,39.6,0.00310138,124049
39,2000,0,0.3048,39.6,0.00310138,123689
40,2500,0,0.3048,39.6,0.00310138,121399
41,3150,0,0.3048,39.6,0.00310138,120319
42,4000,0,0.3048,39.6,0.00310138,119229
43,5000,0,0.3048,39.6,0.00310138,117789
44,6300,0,0.3048,39.6,0.00310138,116229
