,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
1,0,0,18,0,1,0,4,4,3,0,2,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6
2,0,0,17,0,1,1,1,1,3,4,2,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6
3,0,0,15,0,0,1,1,1,3,4,3,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10
4,0,0,15,0,1,1,4,2,1,2,0,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15
5,0,0,16,0,1,1,3,3,4,4,0,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10
6,0,1,16,0,0,1,4,3,2,4,1,0,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15
7,0,1,16,0,0,1,2,2,4,4,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11
8,0,0,17,0,1,0,4,4,4,0,0,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6
9,0,1,15,0,0,0,3,2,2,4,0,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19
10,0,1,15,0,1,1,3,4,4,4,0,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15
11,0,0,15,0,1,1,4,4,0,1,1,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9
12,0,0,15,0,1,1,2,1,2,4,1,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12
13,0,1,15,0,0,1,4,4,1,2,2,1,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14
14,0,1,15,0,1,1,4,3,0,4,2,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11
15,0,1,15,0,1,0,2,2,4,4,0,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16
16,0,0,16,0,1,1,4,4,1,4,0,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14
17,0,0,16,0,1,1,4,4,2,2,1,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14
18,0,0,16,0,1,1,3,3,4,4,1,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10
19,0,1,17,0,1,1,3,2,2,2,2,0,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5
20,0,1,16,0,0,1,4,3,1,4,0,1,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10
21,0,1,15,0,1,1,4,3,0,4,1,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15
22,0,1,15,0,1,1,4,4,1,1,3,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15
23,0,1,16,0,0,1,4,2,0,4,2,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16
24,0,1,16,0,0,1,2,2,4,4,1,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12
25,0,0,15,1,1,1,2,4,2,1,2,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8
26,0,0,16,0,1,1,2,2,2,2,0,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8
27,0,1,15,0,1,1,2,2,4,4,0,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11
28,0,1,15,0,1,1,4,2,1,2,3,0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15
29,0,1,16,0,0,0,3,4,2,4,0,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11
30,0,1,16,0,1,1,4,4,0,0,0,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11
31,0,1,15,0,1,1,4,4,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12
32,0,1,15,0,1,1,4,4,2,2,1,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17
33,0,1,15,1,1,1,4,3,0,3,2,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16
34,0,1,15,0,0,1,3,3,4,4,2,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12
35,0,1,16,0,1,1,3,2,4,4,0,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15
36,0,0,15,0,1,1,2,3,4,4,3,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6
37,0,1,15,0,0,1,4,3,0,2,0,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18
38,0,1,16,1,1,0,4,4,4,0,1,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15
